iter	Passed	Remaining
0	205	205452
1	223	111732
2	246	81782
3	262	65340
4	283	56363
5	305	50565
6	318	45228
7	337	41850
8	354	39078
9	365	36150
10	385	34626
11	408	33605
12	426	32405
13	445	31365
14	468	30767
15	488	30031
16	499	28864
17	518	28290
18	534	27591
19	549	26945
20	564	26322
21	581	25862
22	599	25474
23	617	25119
24	635	24786
25	653	24489
26	666	24026
27	680	23610
28	691	23154
29	709	22936
30	729	22807
31	747	22612
32	763	22362
33	776	22061
34	799	22042
35	810	21714
36	831	21632
37	849	21499
38	867	21365
39	885	21260
40	901	21079
41	917	20919
42	935	20812
43	954	20740
44	973	20651
45	986	20468
46	999	20259
47	1016	20163
48	1034	20068
49	1051	19981
50	1066	19853
51	1080	19701
52	1095	19581
53	1113	19510
54	1131	19439
55	1144	19288
56	1161	19223
57	1174	19076
58	1186	18919
59	1205	18880
60	1222	18819
61	1241	18776
62	1259	18727
63	1278	18702
64	1299	18685
65	1318	18663
66	1336	18609
67	1348	18483
68	1360	18362
69	1378	18313
70	1397	18281
71	1415	18240
72	1434	18213
73	1451	18165
74	1467	18093
75	1481	18007
76	1495	17932
77	1512	17873
78	1529	17836
79	1548	17808
80	1562	17727
81	1580	17688
82	1598	17663
83	1613	17596
84	1633	17579
85	1650	17544
86	1667	17500
87	1685	17469
88	1704	17446
89	1723	17423
90	1741	17392
91	1759	17363
92	1776	17330
93	1796	17313
94	1814	17280
95	1834	17273
96	1852	17244
97	1870	17212
98	1888	17183
99	1906	17156
100	1923	17124
101	1943	17110
102	1961	17084
103	1978	17049
104	1996	17018
105	2014	16990
106	2035	16989
107	2053	16960
108	2071	16929
109	2089	16904
110	2106	16870
111	2123	16837
112	2143	16823
113	2161	16797
114	2179	16769
115	2196	16739
116	2215	16721
117	2233	16695
118	2252	16673
119	2271	16655
120	2288	16627
121	2308	16612
122	2326	16586
123	2343	16553
124	2361	16532
125	2379	16503
126	2396	16476
127	2414	16446
128	2433	16429
129	2451	16408
130	2469	16381
131	2487	16355
132	2504	16327
133	2521	16298
134	2539	16274
135	2556	16241
136	2575	16226
137	2594	16205
138	2611	16176
139	2629	16151
140	2646	16122
141	2664	16101
142	2682	16075
143	2699	16049
144	2718	16027
145	2735	16000
146	2754	15981
147	2770	15951
148	2789	15934
149	2806	15904
150	2824	15878
151	2842	15858
152	2859	15831
153	2878	15814
154	2897	15796
155	2915	15772
156	2933	15748
157	2952	15736
158	2969	15708
159	2989	15695
160	3007	15670
161	3024	15647
162	3042	15624
163	3059	15597
164	3078	15577
165	3096	15557
166	3115	15538
167	3134	15525
168	3151	15497
169	3169	15474
170	3187	15451
171	3207	15440
172	3225	15419
173	3244	15401
174	3266	15398
175	3285	15379
176	3303	15361
177	3321	15339
178	3339	15316
179	3356	15291
180	3374	15270
181	3392	15248
182	3411	15230
183	3429	15208
184	3448	15191
185	3466	15171
186	3484	15148
187	3501	15125
188	3521	15108
189	3538	15086
190	3556	15064
191	3574	15042
192	3591	15018
193	3609	14995
194	3631	14990
195	3649	14969
196	3667	14948
197	3685	14927
198	3703	14908
199	3721	14886
200	3740	14869
201	3758	14846
202	3777	14832
203	3795	14809
204	3813	14788
205	3831	14768
206	3849	14748
207	3867	14725
208	3884	14703
209	3901	14677
210	3919	14654
211	3937	14635
212	3954	14612
213	3971	14588
214	3988	14563
215	4005	14538
216	4022	14514
217	4041	14498
218	4060	14480
219	4077	14456
220	4094	14431
221	4111	14408
222	4128	14383
223	4146	14364
224	4163	14341
225	4181	14319
226	4199	14301
227	4216	14277
228	4233	14253
229	4254	14241
230	4274	14230
231	4294	14216
232	4313	14199
233	4332	14181
234	4350	14161
235	4369	14145
236	4388	14129
237	4407	14111
238	4426	14094
239	4450	14092
240	4473	14090
241	4492	14072
242	4511	14053
243	4528	14030
244	4545	14007
245	4562	13985
246	4581	13967
247	4598	13944
248	4616	13922
249	4633	13899
250	4650	13876
251	4667	13853
252	4686	13838
253	4706	13822
254	4736	13839
255	4756	13822
256	4775	13806
257	4794	13789
258	4813	13772
259	4837	13767
260	4859	13760
261	4881	13750
262	4902	13737
263	4922	13723
264	4940	13702
265	4958	13682
266	4976	13663
267	4996	13646
268	5014	13626
269	5034	13610
270	5053	13593
271	5071	13574
272	5092	13560
273	5111	13543
274	5131	13529
275	5150	13511
276	5174	13505
277	5193	13488
278	5212	13469
279	5235	13462
280	5256	13449
281	5275	13431
282	5295	13416
283	5317	13405
284	5335	13385
285	5353	13365
286	5372	13346
287	5390	13326
288	5409	13309
289	5428	13289
290	5446	13270
291	5465	13251
292	5483	13230
293	5502	13214
294	5521	13195
295	5539	13175
296	5558	13157
297	5577	13138
298	5596	13120
299	5614	13100
300	5636	13090
301	5655	13072
302	5673	13051
303	5697	13043
304	5716	13025
305	5734	13005
306	5751	12984
307	5772	12968
308	5790	12948
309	5811	12934
310	5831	12918
311	5850	12900
312	5867	12878
313	5885	12858
314	5904	12839
315	5922	12820
316	5943	12806
317	5961	12784
318	5978	12763
319	5995	12741
320	6013	12719
321	6033	12703
322	6051	12683
323	6069	12662
324	6086	12641
325	6104	12620
326	6121	12598
327	6139	12579
328	6159	12561
329	6176	12540
330	6194	12519
331	6211	12498
332	6229	12477
333	6250	12464
334	6268	12443
335	6285	12421
336	6303	12400
337	6321	12381
338	6338	12359
339	6355	12337
340	6374	12318
341	6391	12298
342	6410	12278
343	6431	12264
344	6451	12247
345	6473	12235
346	6496	12225
347	6516	12208
348	6541	12202
349	6564	12191
350	6587	12179
351	6605	12160
352	6624	12141
353	6642	12122
354	6662	12104
355	6679	12084
356	6698	12064
357	6716	12043
358	6733	12023
359	6752	12003
360	6769	11982
361	6789	11965
362	6807	11945
363	6825	11926
364	6845	11908
365	6863	11889
366	6883	11872
367	6902	11854
368	6920	11833
369	6938	11814
370	6956	11794
371	6977	11778
372	6995	11759
373	7013	11738
374	7031	11719
375	7050	11700
